valid_points	duration	head_id	source	srt	heuristic_saccade_validity	invalid_points	trial_configuration_id	stim_location	tracker_successfully_calibrated	trial_number	mse
1806	66723	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	256642	True	0	SRT4	3	False	5	0.0026941487618739107
1542	53392	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	303262	True	264	SRT4	6	False	6	0.001607015837474983
1350	6670	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	446633	False	456	SRT4	4	False	7	0.0044925570203142515
1707	63388	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	249932	True	99	SRT4	6	False	8	0.001172469870369843
1740	49947	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	330009	True	66	SRT4	6	False	9	0.0007769893065914806
1659	63378	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	333262	True	147	SRT4	3	False	10	0.0026406498941308155
1803	53300	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	276675	True	3	SRT4	5	False	11	0.0016875510730034687
1806	46705	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	246673	True	0	SRT5	5	False	0	0.0014557220375005094
1806	139969	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	206608	False	0	SRT5	5	False	1	0.0023142886467207684
1782	33282	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	306602	True	24	SRT5	4	False	2	0.0014215525868536134
1512	63341	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	379974	True	294	SRT5	3	False	3	0.000863676737593393
1536	9963	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	253296	False	270	SRT5	6	False	4	0.0020516962237236247
741	39998	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	449924	True	1065	SRT5	6	False	5	0.04882647429058813
1503	23301	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	196622	True	303	SRT5	6	False	6	0.0005783730757102057
1416	83243	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	773325	False	390	SRT5	4	False	7	0.05180255595846029
1806	46599	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	299982	True	0	SRT5	3	False	8	0.002644027727914628
1677	50054	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	329890	True	129	SRT5	4	False	9	0.012521090877529053
1164	76663	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	399990	True	642	SRT5	5	False	10	0.0008665845622720651
1356	56619	0160	cg10_8_childcogn_8mNoCalib_SRT5.gazedata	229945	True	450	SRT5	3	False	11	0.001780277290042481
318	56636	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	429964	True	1488	SRT1	4	False	1	0.0003625902207475113
1395	49980	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	349937	True	411	SRT1	5	False	2	0.0007103788967670681
84	16656	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	383287	True	1722	SRT1	6	False	3	0.0022039009261001674
180	6657	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	806530	False	1626	SRT1	4	False	4	0.00012062951173555032
36	6698	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	423282	False	1770	SRT1	3	False	5	0.00031275020497016274
129	6683	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	709905	False	1677	SRT1	6	False	6	0.00015992257203067598
126	0	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	933204	False	1680	SRT1	5	False	7	0.00010018569316370976
42	6694	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	493264	False	1764	SRT1	5	False	8	0.0022570863501423016
108	659899	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	339963	False	1698	SRT1	4	False	9	0.004808733728464887
24	6677	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	689899	False	1782	SRT1	3	False	10	0.0001090940682939712
12	0	0120	cg11_8_childcogn_8mNoCalib_SRT1.gazedata	96688	False	1794	SRT1	3	False	11	0.0
438	63365	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	336620	True	1368	SRT2	3	False	0	0.0012038108670941153
231	6682	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	636621	False	1575	SRT2	6	False	1	0.0008859158845047381
666	6653	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	593211	False	1140	SRT2	3	False	2	0.09093394387739677
429	483259	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	139969	False	1377	SRT2	5	False	3	0.0010115935746419966
324	6680	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	433290	False	1482	SRT2	5	False	4	0.0004480981389742251
